country;subregion;date;lat;long;confirmed;dead;recovered
Afghanistan;;2020-01-22;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-23;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-24;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-25;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-26;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-27;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-28;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-29;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-30;33.0;65.0;0;0;0.0
Afghanistan;;2020-01-31;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-01;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-02;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-03;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-04;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-05;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-06;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-07;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-08;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-09;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-10;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-11;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-12;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-13;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-14;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-15;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-16;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-17;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-18;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-19;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-20;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-21;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-22;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-23;33.0;65.0;0;0;0.0
Afghanistan;;2020-02-24;33.0;65.0;1;0;0.0
Afghanistan;;2020-02-25;33.0;65.0;1;0;0.0
Afghanistan;;2020-02-26;33.0;65.0;1;0;0.0
Afghanistan;;2020-02-27;33.0;65.0;1;0;0.0
Afghanistan;;2020-02-28;33.0;65.0;1;0;0.0
Afghanistan;;2020-02-29;33.0;65.0;1;0;0.0
Afghanistan;;2020-03-01;33.0;65.0;1;0;0.0
Afghanistan;;2020-03-02;33.0;65.0;1;0;0.0
Afghanistan;;2020-03-03;33.0;65.0;1;0;0.0
Afghanistan;;2020-03-04;33.0;65.0;1;0;0.0
Afghanistan;;2020-03-05;33.0;65.0;1;0;0.0
Afghanistan;;2020-03-06;33.0;65.0;1;0;0.0
Afghanistan;;2020-03-07;33.0;65.0;1;0;0.0
Afghanistan;;2020-03-08;33.0;65.0;4;0;0.0
Afghanistan;;2020-03-09;33.0;65.0;4;0;0.0
Afghanistan;;2020-03-10;33.0;65.0;5;0;0.0
Afghanistan;;2020-03-11;33.0;65.0;7;0;0.0
